Entidade,Credor,Empenho,Espécie,Emissão,Valor,Descrição Despesa
MUNICÍPIO DE CONCÓRDIA,BMH PRODUTOS MÉDICOS HOSPITALARES LTDA - EPP,5027 / 2020,Global,10/06/2020,"1.203,00","Aparelhos, equip., utens. médico-odontológicos, laboratoriais e hospitalares"
MUNICÍPIO DE CONCÓRDIA,BMH PRODUTOS MÉDICOS HOSPITALARES LTDA - EPP,7782 / 2020,Global,11/09/2020,"20.050,00","Aparelhos, equip., utens. médico-odontológicos, laboratoriais e hospitalares"
MUNICÍPIO DE CONCÓRDIA,COTTON DOCTOR TEXTIL LTDA,11079 / 2020,Global,22/12/2020,"10.200,00",Material de proteção e segurança
MUNICÍPIO DE CONCÓRDIA,FLASH PRESTACAO DE SERVICOS EIRELI EPP,11080 / 2020,Global,22/12/2020,"15.717,75",Material limpeza e produtos de higienização
MUNICÍPIO DE CONCÓRDIA,GLAMOUR PRODUTOS DE LIMPEZA LTDA,11081 / 2020,Global,22/12/2020,"15.150,00",Material limpeza e produtos de higienização
MUNICÍPIO DE CONCÓRDIA,LUMARINE INDUSTRIA TEXTIL LTDA,3551 / 2020,Global,15/04/2020,"117,50",Material de proteção e segurança
MUNICÍPIO DE CONCÓRDIA,MAYCON WILL ME,11083 / 2020,Global,23/12/2020,"18.900,00",Material limpeza e produtos de higienização
MUNICÍPIO DE CONCÓRDIA,MUNDI BOLSAS EIRELI,3550 / 2020,Global,15/04/2020,"450,00",Material de proteção e segurança
MUNICÍPIO DE CONCÓRDIA,NAIROBI PRODUTOS QUÍMICOS LTDA,11085 / 2020,Global,23/12/2020,"50.000,00",Material limpeza e produtos de higienização
MUNICÍPIO DE CONCÓRDIA,OBJETIVA COMÉRCIO DE EQUIPAMENTOS LTDA,11086 / 2020,Global,23/12/2020,"32.480,00",Material limpeza e produtos de higienização
MUNICÍPIO DE CONCÓRDIA,PATRIC BORGES DO AMARAL DA SILVA,11087 / 2020,Global,23/12/2020,"9.500,00",Material de sinalização visual e afins
MUNICÍPIO DE CONCÓRDIA,PEROLA IMPORTADORA E DISTRIBUIDORA HOSPITALAR EIRELI,11088 / 2020,Global,23/12/2020,"5.499,50","Aparelhos, equip., utens. médico-odontológicos, laboratoriais e hospitalares"
MUNICÍPIO DE CONCÓRDIA,SAGATICOMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA,11089 / 2020,Global,23/12/2020,"3.400,00",Material de proteção e segurança
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,A. G. KIENEN & CIA LTDA,1123 / 2020,Global,30/03/2020,"1.728,00",Material farmacológico
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ADRIELSON FERREIRA PINHEIRO,953 / 2020,Global,20/03/2020,"525,00",Material de acondicionamento e embalagem
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,AGENCIA DE PUBLICIDADE TIG LTDA,1567 / 2020,Global,13/05/2020,"178.074,89",Serviços de comunicação em geral
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,AGENCIA DE PUBLICIDADE TIG LTDA,2231 / 2020,Estimativo,23/07/2020,"320.000,00",Serviços de publicidade e propaganda
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,AGILE DISTRIBUIDORA DE MATERIAIS DESCARTAVEIS S&M LTDA,918 / 2020,Global,19/03/2020,"0,00",Material hospitalar
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ALERT SEGURANÇA LTDA,1501 / 2020,Estimativo,28/04/2020,"2.998,00",Vigilância ostensiva/monitorada
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,1117 / 2020,Global,30/03/2020,"0,00",Material farmacológico
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,1144 / 2020,Global,03/04/2020,"0,00",Material farmacológico
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,1314 / 2020,Global,20/04/2020,"31.000,32",Material farmacológico
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,1796 / 2020,Global,01/06/2020,"585,60",Material limpeza e produtos de higienização
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,AMANDA COMERCIO DE PAPEIS E EMBALAGENS LTDA,917 / 2020,Global,19/03/2020,"4.880,00",Material limpeza e produtos de higienização
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BALLKE PRODUTOS HOSPITALARES LTDA,954 / 2020,Global,20/03/2020,"0,00",Material hospitalar
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BALLKE PRODUTOS HOSPITALARES LTDA,1097 / 2020,Global,23/03/2020,"480,00",Material hospitalar
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BALLKE PRODUTOS HOSPITALARES LTDA,1182 / 2020,Global,15/04/2020,"2.462,00",Material hospitalar
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BALLKE PRODUTOS HOSPITALARES LTDA,1316 / 2020,Global,20/04/2020,"140.480,00",Material hospitalar
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BENEFICÊNCIA CAMILIANA DO SUL,1563 / 2020,Ordinário,12/05/2020,"523.340,21",Outras contribuições
FMS - FUNDO MUNICIPAL DE SAUDE DE CONCORDIA,BENEFICÊNCIA CAMILIANA DO SUL,1583 / 2020,Estimativo,14/05/2020,"720.000,00","Serviços médico-hospitalares, odontológicos e laboratoriais"
